"","324","325","327","328","329","483","484","485","486","487","488","489","490","491","492","554","555","557","558","559","600","601","602","603","604","605","606","607","608","609"
"324",9.0107723057334e-07,7.29838132343207e-07,7.09788258307607e-07,7.40152754932188e-07,7.13506031890004e-07,7.09830229074665e-07,7.21362603845709e-07,7.19710004866165e-07,7.42053521039921e-07,7.27132928290882e-07,6.74175195530525e-07,7.34222896980307e-07,7.43723912325187e-07,7.21689259977837e-07,7.50343732251088e-07,7.64455093562507e-07,7.74312184554019e-07,7.32853549132155e-07,7.13676340339333e-07,6.71541223579274e-07,7.13117338599982e-07,7.27915788269271e-07,7.07594194035237e-07,7.25176709496929e-07,7.14805349303037e-07,7.43947495723638e-07,7.29042705469973e-07,7.46690510763839e-07,7.26505612095037e-07,7.13108339668955e-07
"325",7.29838132343207e-07,4.3722189765928e-08,1.05102714269635e-07,6.66363925561395e-08,8.26849598540955e-08,1.27805186587066e-07,8.19481860693668e-08,4.24024408934649e-08,5.83817807191692e-08,1.14324547441957e-07,2.03148812088724e-07,4.76249171292386e-08,4.82027411746595e-08,4.24641445313657e-08,4.39934945406192e-08,5.86346232931813e-08,6.83440912789694e-08,4.88990536736376e-08,9.80810419506759e-08,2.95527251291963e-07,7.43647448032209e-08,9.21179800525205e-08,1.03393239314053e-07,5.1469944630924e-08,6.60942068538066e-08,5.82972122411788e-08,1.0046708498855e-07,4.77436404103177e-08,4.54220953899518e-08,1.04131961214704e-07
"327",7.09788258307607e-07,1.05102714269635e-07,1.32420710347816e-07,1.31490737317667e-07,1.10263382947458e-07,1.32196179380524e-07,1.27638941393077e-07,1.02832357605862e-07,1.28707809217785e-07,1.52458067191283e-07,1.60827528229815e-07,1.09522599802674e-07,1.23142548811035e-07,9.45409989714204e-08,1.18489445251843e-07,1.37308025422189e-07,1.4573720592396e-07,1.16718626882506e-07,1.06115880440962e-07,2.56594483152381e-07,1.11027488727976e-07,1.26917663508645e-07,1.30622258783448e-07,1.04513936019289e-07,1.00624134139488e-07,1.28715475721144e-07,1.37954700591997e-07,1.14961543696091e-07,1.04542057018664e-07,1.25941515082304e-07
"328",7.40152754932188e-07,6.66363925561395e-08,1.31490737317667e-07,6.038669662129e-08,1.02224292071121e-07,1.32702348972858e-07,7.6587135868514e-08,6.18083784413448e-08,4.68981795278862e-08,1.02303801870311e-07,2.19073169932732e-07,6.97079371615718e-08,5.33680732991438e-08,7.74273285170631e-08,7.80386744671419e-08,7.12980144899827e-08,8.34151142217781e-08,5.41845159489615e-08,1.24124977791641e-07,2.9769820220518e-07,9.12108438465226e-08,1.13426010730419e-07,1.14046910121939e-07,7.624413197929e-08,9.72156656038982e-08,5.61915054288024e-08,1.05979258396263e-07,8.32010288930697e-08,6.62698323750427e-08,1.15037837252963e-07
"329",7.13506031890004e-07,8.26849598540955e-08,1.10263382947458e-07,1.02224292071121e-07,1.08667521194524e-07,1.24604623676264e-07,9.90689707320248e-08,7.49369554693253e-08,1.02535999379975e-07,1.17773766885082e-07,1.69568028728512e-07,8.92507112545512e-08,9.9564873616348e-08,7.55179802093239e-08,1.0307910738188e-07,1.20576399115937e-07,1.30417061897605e-07,8.93923128945161e-08,1.06544115552065e-07,2.53259080108603e-07,8.46076394396149e-08,1.10940653204687e-07,1.11462938817802e-07,8.33977563683033e-08,8.77120400294281e-08,1.04597480885926e-07,1.20531391699444e-07,1.00244082147415e-07,8.1115556524631e-08,1.13625978910255e-07
"483",7.09830229074665e-07,1.27805186587066e-07,1.32196179380524e-07,1.32702348972858e-07,1.24604623676264e-07,1.51904863804751e-07,1.252239034546e-07,1.18556619906508e-07,1.34708583862643e-07,1.39965374313953e-07,1.4960986394336e-07,1.32883229078661e-07,1.36809773029276e-07,1.25356012606811e-07,1.48160408419419e-07,1.54788085741725e-07,1.66608230084873e-07,1.28489907596683e-07,1.32339890092101e-07,2.35397514378411e-07,1.19111323543513e-07,1.38533261917445e-07,1.33197245911444e-07,1.2565023646447e-07,1.21561520776493e-07,1.38693197562058e-07,1.42561073349972e-07,1.47597378522967e-07,1.26487695395614e-07,1.30998617922211e-07
"484",7.21362603845709e-07,8.19481860693668e-08,1.27638941393077e-07,7.6587135868514e-08,9.90689707320248e-08,1.252239034546e-07,9.40424457847833e-08,6.8977277585874e-08,7.40182238594595e-08,9.86710794623605e-08,1.85273158973279e-07,8.73497792112283e-08,7.90153420466832e-08,8.70264881014215e-08,1.07067405691806e-07,1.04344135745976e-07,1.19943937462584e-07,7.22544541125779e-08,1.24606477407327e-07,2.56748393136265e-07,8.60840901197139e-08,1.15891709026089e-07,1.07028239995328e-07,8.50177347087324e-08,9.92628596765944e-08,8.29763877724435e-08,1.13461772059309e-07,1.09537928569575e-07,8.01520735998402e-08,1.12456052124176e-07
"485",7.19710004866165e-07,4.24024408934649e-08,1.02832357605862e-07,6.18083784413448e-08,7.49369554693253e-08,1.18556619906508e-07,6.8977277585874e-08,3.98610040617129e-08,5.92830172634574e-08,1.00540214856037e-07,1.86067719924126e-07,5.32901333492273e-08,5.6006080222976e-08,4.39925631813309e-08,6.58620299571322e-08,7.82638895586457e-08,9.01814044241169e-08,4.730804158602e-08,9.69381365453319e-08,2.74409487698926e-07,6.24611789516614e-08,9.3253973857927e-08,9.2036470142281e-08,5.11217675658875e-08,6.55008247189675e-08,6.35523074080847e-08,9.70253485630276e-08,6.67351249494875e-08,4.61042429358366e-08,9.8009209412595e-08
"486",7.42053521039921e-07,5.83817807191692e-08,1.28707809217785e-07,4.68981795278862e-08,1.02535999379975e-07,1.34708583862643e-07,7.40182238594595e-08,5.92830172634574e-08,3.7692320596931e-08,1.01404609430652e-07,2.26904543855037e-07,6.20982527881821e-08,3.63643488669413e-08,7.20149280138571e-08,6.88993440775953e-08,5.3900886542538e-08,7.06060985456401e-08,4.33131594803283e-08,1.21888927856592e-07,3.07858439341008e-07,9.24867280739732e-08,1.1259001003698e-07,1.16860567195655e-07,6.98299892621879e-08,9.28661259933231e-08,4.10870996205238e-08,9.95650780419545e-08,7.6253642737959e-08,6.10248620023318e-08,1.11792295512055e-07
