"","324","325","327","328","329","483","484","485","486","487","488","489","490","491","492","554","555","557","558","559","600","601","602","603","604","605","606","607","608","609"
"487",7.27931938612641e-07,1.15615579516717e-07,1.53899644871737e-07,1.03834259930636e-07,1.19258572906027e-07,1.41202492431549e-07,1.00106590942464e-07,1.01951887990395e-07,1.02412936256375e-07,1.19578924350697e-07,1.9477073975209e-07,1.21665170047097e-07,1.1042117132967e-07,1.21125087042457e-07,1.42174033978557e-07,1.37431833551459e-07,1.53495821701698e-07,1.04028065293272e-07,1.5133894120297e-07,2.54003132702821e-07,1.06327767247021e-07,1.38883141467159e-07,1.28110639892015e-07,1.15966320229463e-07,1.28841949910624e-07,1.13140216080527e-07,1.357256617074e-07,1.44918898122335e-07,1.13852768723823e-07,1.34399480965249e-07
"488",6.75266858002417e-07,2.03541339626144e-07,1.62492702611008e-07,2.19022067586232e-07,1.69857981394347e-07,1.50860480338011e-07,1.85470532365415e-07,1.86255249701907e-07,2.27132317454297e-07,1.9477073975209e-07,1.18948470138881e-07,2.09962868879867e-07,2.28411409394584e-07,1.89073889777539e-07,2.34390143545865e-07,2.55131586781934e-07,2.65383818978457e-07,2.09784463736185e-07,1.67617019247256e-07,1.86482126671e-07,1.70802163554319e-07,1.88381230079763e-07,1.64400147277789e-07,1.9311969855568e-07,1.69568187362981e-07,2.30401628559183e-07,1.9432350000788e-07,2.27871571305702e-07,1.9717256024775e-07,1.67815855108428e-07
"489",7.35884865034393e-07,5.00755440301597e-08,1.11610747076626e-07,7.33401693491841e-08,9.16500181297993e-08,1.34781012067824e-07,9.09893299042384e-08,5.65161633223533e-08,6.41589685606325e-08,1.21665170047097e-07,2.09962868879867e-07,6.67270006655391e-08,5.73498204648402e-08,5.32661207888672e-08,5.34418829385486e-08,6.28065300760288e-08,7.25307035707819e-08,5.95016217736151e-08,1.03571810217429e-07,3.04476829234202e-07,8.74939556769931e-08,1.0005062412566e-07,1.13382188018305e-07,6.04982022804226e-08,7.62689445889196e-08,6.56515136888622e-08,1.06628915633187e-07,5.68807543579907e-08,5.63761563431001e-08,1.14025944619227e-07
"490",7.4475592634106e-07,4.84124502145722e-08,1.2385741762785e-07,5.3883798640312e-08,9.96797500753922e-08,1.37583334880874e-07,7.95501011747386e-08,5.60035660198286e-08,3.84387457232536e-08,1.1042117132967e-07,2.28411409394584e-07,5.73498204648402e-08,3.63168190833134e-08,6.15963900011223e-08,5.32140957489733e-08,4.32204108588337e-08,5.8000842418046e-08,4.26671189762328e-08,1.16545580812082e-07,3.18101098978744e-07,9.61822896459298e-08,1.06495907371587e-07,1.18347531464029e-07,6.49760204738739e-08,8.41866040425805e-08,4.68935208070983e-08,9.92718053540917e-08,6.10932857928953e-08,5.53516496031028e-08,1.14005747908459e-07
"491",7.23115748296327e-07,4.27604457068844e-08,9.5899385030848e-08,7.76425563693192e-08,7.56320195077248e-08,1.26125121042305e-07,8.75128670671655e-08,4.40704869225039e-08,7.29376455243116e-08,1.21125087042457e-07,1.89073889777539e-07,5.32661207888672e-08,6.15963900011223e-08,4.16278355577706e-08,5.43820182941018e-08,7.62202349838179e-08,8.43936768508246e-08,5.69038948924429e-08,8.74955557195979e-08,2.89331977625241e-07,7.67740993646206e-08,9.23168775936714e-08,1.01924881089644e-07,5.21379544362012e-08,6.05615598206284e-08,7.39825810150736e-08,1.0163783743757e-07,5.27334492491907e-08,4.57587578103512e-08,1.06243314100952e-07
"492",7.5183125260806e-07,4.48672376474777e-08,1.19747119008291e-07,7.87268517698125e-08,1.03596974925136e-07,1.49362989714118e-07,1.07871186056119e-07,6.64832843830523e-08,6.98921918746768e-08,1.42174033978557e-07,2.34390143545865e-07,5.34418829385486e-08,5.32140957489733e-08,5.43820182941018e-08,2.62325677604768e-08,3.97378254039589e-08,4.15066332324926e-08,6.47150531346112e-08,1.08777758013298e-07,3.33562235587176e-07,1.05359945243964e-07,9.66561918881727e-08,1.28557699845667e-07,6.6522442180318e-08,8.08995027527606e-08,6.55249106066625e-08,1.14814537161785e-07,2.93833743037647e-08,5.74788186243333e-08,1.26589691402562e-07
"554",7.65656238325809e-07,5.89102781794502e-08,1.38128654391333e-07,7.1816005190575e-08,1.20714832864451e-07,1.55975973385819e-07,1.05062575150241e-07,7.8521857891035e-08,5.56047910675353e-08,1.37431833551459e-07,2.55131586781934e-07,6.28065300760288e-08,4.32204108588337e-08,7.62202349838179e-08,3.97378254039589e-08,2.31722172528841e-08,3.09400189236051e-08,6.36736828189109e-08,1.3058471471338e-07,3.47788810431575e-07,1.18892511845911e-07,1.11226593677664e-07,1.42438420438668e-07,7.7077560212784e-08,1.00353416916141e-07,5.77090724824059e-08,1.13622452720006e-07,5.04124297915462e-08,7.16742480028776e-08,1.34294057888506e-07
"555",7.75653848172737e-07,6.87008943636936e-08,1.46627863781789e-07,8.40660832965113e-08,1.3081308388308e-07,1.67782844185763e-07,1.20851937446736e-07,9.04924406733423e-08,7.21744594956982e-08,1.53495821701698e-07,2.65383818978457e-07,7.25307035707819e-08,5.8000842418046e-08,8.43936768508246e-08,4.15066332324926e-08,3.09400189236051e-08,2.90109774275328e-08,7.75816302698871e-08,1.37544335494061e-07,3.59766565896285e-07,1.30042671315619e-07,1.13696824702571e-07,1.53623709774123e-07,8.78688554096877e-08,1.09705797666488e-07,7.14160048581313e-08,1.25311860267219e-07,5.01865657512877e-08,8.14803326402995e-08,1.47110472301045e-07
"557",7.33882626552127e-07,4.91804678774436e-08,1.17576971344183e-07,5.44971143118465e-08,8.94687807359248e-08,1.2922969522975e-07,7.28700678836259e-08,4.77278607039243e-08,4.54188654683184e-08,1.04028065293272e-07,2.09784463736185e-07,5.95016217736151e-08,4.26671189762328e-08,5.69038948924429e-08,6.47150531346112e-08,6.36736828189109e-08,7.75816302698871e-08,5.06230335386899e-08,1.10088508342116e-07,2.99397615592539e-07,8.49883800083745e-08,1.03968548593371e-07,1.06243256651737e-07,6.11484186138587e-08,7.88449400395075e-08,5.41998714993767e-08,9.78347006079522e-08,6.90595012489717e-08,5.17494823373583e-08,1.09349934839905e-07
"558",7.15138574664733e-07,9.83389823213967e-08,1.08646033075086e-07,1.24522085488425e-07,1.06891547631358e-07,1.33166329681078e-07,1.2518510629981e-07,9.71266386305208e-08,1.22332332528181e-07,1.5133894120297e-07,1.67617019247256e-07,1.03571810217429e-07,1.16545580812082e-07,8.74955557195979e-08,1.08777758013298e-07,1.3058471471338e-07,1.37544335494061e-07,1.10088508342116e-07,1.22473689199242e-07,2.68701768282073e-07,1.11070947069922e-07,1.22845118751694e-07,1.28119902090709e-07,9.94058844164295e-08,9.63027384258077e-08,1.22959957372702e-07,1.34767047981725e-07,1.05072532579288e-07,9.69325465662838e-08,1.26652397883378e-07
