"","66","94","95","108","168","169"
"66",3.3349643502896e-07,2.26063666474993e-07,2.27004488711483e-07,2.5402025029404e-07,2.22318623697259e-07,2.24528586126684e-07
"94",2.26063666474993e-07,1.00828830023886e-07,1.12781667007968e-07,1.40254466441914e-07,1.05100023853552e-07,1.04877264616455e-07
"95",2.27004488711483e-07,1.12781667007968e-07,1.09216175053074e-07,1.37827413100696e-07,1.06136454431072e-07,1.02656125673285e-07
"108",2.5402025029404e-07,1.40254466441914e-07,1.37827413100696e-07,1.67058529205003e-07,1.38536035889281e-07,1.33748938644104e-07
"168",2.22318623697259e-07,1.05100023853552e-07,1.06136454431072e-07,1.38536035889281e-07,1.00949881083698e-07,1.03100442369684e-07
"169",2.24528586126684e-07,1.04877264616455e-07,1.02656125673285e-07,1.33748938644104e-07,1.03100442369684e-07,9.95753677841746e-08
