"","66","94","95","108","168","169"
"66",3.32516449657523e-07,2.25120197777619e-07,2.26028324486584e-07,2.52788338748159e-07,2.20800782667189e-07,2.22970636103606e-07
"94",2.25120197777619e-07,9.98426349744523e-08,1.11693490505667e-07,1.38845592171703e-07,1.03648365482797e-07,1.03098527458603e-07
"95",2.26028324486584e-07,1.11693490505667e-07,1.0819934609622e-07,1.3648061151367e-07,1.04462978193517e-07,1.0108020138658e-07
"108",2.52788338748159e-07,1.38845592171703e-07,1.3648061151367e-07,1.65262517789857e-07,1.36734971448836e-07,1.31918626665898e-07
"168",2.20800782667189e-07,1.03648365482797e-07,1.04462978193517e-07,1.36734971448836e-07,9.87033512714358e-08,1.00984093457584e-07
"169",2.22970636103606e-07,1.03098527458603e-07,1.0108020138658e-07,1.31918626665898e-07,1.00984093457584e-07,9.73139150445373e-08
