"","66","94","95","108","168","169"
"66",3.33639982640181e-07,2.26179674749616e-07,2.27086049064375e-07,2.54154180004792e-07,2.2246775965464e-07,2.24636251614307e-07
"94",2.26179674749616e-07,1.00930867694096e-07,1.128860710499e-07,1.40437180576249e-07,1.05214079772402e-07,1.04983615668245e-07
"95",2.27086049064375e-07,1.128860710499e-07,1.09252476426392e-07,1.37938656310972e-07,1.06234593949379e-07,1.02716467241968e-07
"108",2.54154180004792e-07,1.40437180576249e-07,1.37938656310972e-07,1.67235978600558e-07,1.38682967576213e-07,1.33884806049988e-07
"168",2.2246775965464e-07,1.05214079772402e-07,1.06234593949379e-07,1.38682967576213e-07,1.01164026266025e-07,1.03206391807245e-07
"169",2.24636251614307e-07,1.04983615668245e-07,1.02716467241968e-07,1.33884806049988e-07,1.03206391807245e-07,9.96568111195914e-08
